device_id,device_type,os
275,Mobile,Android
276,Desktop,Android
277,Desktop,Android
278,Mobile,iOS
279,Mobile,iOS
280,Desktop,iOS
281,Desktop,Windows
282,Mobile,iOS
283,Mobile,Windows
284,Mobile,macOS
285,Desktop,macOS
286,Desktop,Android
287,Mobile,iOS
288,Mobile,iOS
289,Mobile,iOS
290,Desktop,Windows
291,Mobile,Windows
292,Mobile,iOS
293,Mobile,iOS
294,Mobile,Android
295,Tablet,Android
296,Tablet,iOS
297,Mobile,Windows
298,Tablet,Android
299,Mobile,Android
300,Desktop,iOS
301,Desktop,iOS
302,Mobile,Android
303,Desktop,macOS
304,Desktop,iOS
305,Tablet,iOS
306,Mobile,iOS
307,Mobile,Android
308,Mobile,iOS
309,Mobile,macOS
310,Tablet,Android
311,Mobile,macOS
312,Mobile,Windows
313,Mobile,iOS
314,Desktop,Android
315,Tablet,Android
316,Mobile,macOS
317,Tablet,Windows
318,Mobile,iOS
319,Desktop,macOS
320,Desktop,iOS
321,Mobile,Android
322,Mobile,Windows
323,Mobile,Android
324,Mobile,Windows
325,Desktop,Windows
326,Tablet,Android
327,Mobile,iOS
328,Mobile,Windows
329,Mobile,Android
330,Mobile,macOS
331,Mobile,iOS
332,Mobile,Android
333,Desktop,macOS
334,Mobile,macOS
335,Desktop,iOS
336,Mobile,Windows
337,Mobile,Android
338,Mobile,iOS
339,Desktop,iOS
340,Tablet,iOS
341,Mobile,Windows
342,Mobile,iOS
343,Mobile,Android
344,Mobile,Windows
345,Mobile,Android
346,Desktop,iOS
347,Mobile,Android
348,Desktop,Android
349,Mobile,Android
350,Mobile,Android
351,Tablet,Windows
352,Desktop,iOS
353,Mobile,Windows
354,Mobile,Windows
355,Desktop,Android
356,Mobile,Windows
357,Mobile,Android
358,Mobile,Android
359,Mobile,Android
360,Mobile,Android
361,Mobile,Windows
362,Desktop,iOS
363,Tablet,iOS
364,Mobile,iOS
365,Mobile,Windows
366,Desktop,macOS
367,Desktop,iOS
368,Mobile,iOS
369,Mobile,Android
370,Mobile,Android
371,Mobile,Windows
372,Desktop,Android
373,Desktop,Android
374,Mobile,Android
375,Desktop,iOS
376,Mobile,Android
377,Mobile,Windows
378,Mobile,Windows
379,Mobile,Android
380,Desktop,Android
381,Mobile,macOS
382,Desktop,iOS
383,Mobile,Android
384,Mobile,Android
385,Mobile,iOS
386,Mobile,Windows
387,Mobile,Windows
388,Mobile,Android
389,Mobile,Android
390,Mobile,Android
391,Mobile,Android
392,Mobile,Windows
393,Mobile,iOS
394,Desktop,iOS
395,Mobile,Android
396,Mobile,Windows
397,Mobile,Android
398,Mobile,macOS
399,Desktop,Windows
400,Mobile,iOS
401,Mobile,macOS
402,Desktop,Windows
403,Desktop,Android
404,Mobile,iOS
405,Mobile,Android
406,Mobile,iOS
407,Mobile,Android
408,Mobile,Android
409,Mobile,macOS
410,Mobile,iOS
411,Desktop,iOS
412,Mobile,Android
413,Mobile,iOS
414,Mobile,macOS
415,Mobile,Android
416,Mobile,Android
417,Desktop,Android
418,Desktop,iOS
419,Mobile,Windows
420,Mobile,Android
421,Desktop,Windows
422,Desktop,iOS
423,Mobile,Android
424,Desktop,Windows
425,Desktop,iOS
426,Mobile,iOS
427,Desktop,Android
428,Mobile,iOS
429,Tablet,Windows
430,Desktop,iOS
431,Mobile,Android
432,Desktop,Windows
433,Mobile,Android
434,Desktop,iOS
435,Mobile,Windows
436,Desktop,Android
437,Mobile,Android
438,Desktop,iOS
439,Mobile,Windows
440,Mobile,iOS
441,Mobile,Windows
442,Desktop,iOS
443,Mobile,macOS
444,Desktop,iOS
445,Desktop,Android
446,Mobile,macOS
447,Desktop,macOS
448,Mobile,macOS
449,Mobile,iOS
450,Desktop,Android
451,Desktop,Android
452,Mobile,Android
453,Mobile,iOS
454,Tablet,Android
455,Mobile,Windows
456,Mobile,Windows
457,Desktop,iOS
458,Mobile,iOS
459,Mobile,Android
460,Desktop,Windows
461,Tablet,Android
462,Desktop,Android
463,Desktop,iOS
464,Mobile,iOS
465,Mobile,Android
466,Mobile,Windows
467,Desktop,Android
468,Mobile,iOS
469,Mobile,iOS
470,Mobile,Windows
471,Desktop,Android
472,Mobile,Windows
473,Mobile,Android
474,Desktop,Android
475,Mobile,Android
476,Desktop,Android
477,Mobile,macOS
478,Desktop,Windows
479,Tablet,Android
480,Mobile,Android
481,Mobile,iOS
482,Mobile,macOS
483,Mobile,iOS
484,Mobile,Windows
485,Mobile,iOS
486,Tablet,iOS
487,Mobile,Windows
488,Desktop,Android
489,Mobile,iOS
490,Mobile,Windows
491,Desktop,iOS
492,Desktop,Windows
493,Mobile,Android
494,Mobile,Android
495,Mobile,iOS
496,Desktop,Windows
497,Mobile,iOS
498,Mobile,macOS
499,Desktop,Android
500,Desktop,macOS
501,Mobile,iOS
502,Mobile,iOS
503,Desktop,Android
504,Desktop,Android
505,Mobile,Android
506,Mobile,Windows
507,Desktop,macOS
508,Mobile,Windows
509,Mobile,iOS
510,Mobile,Android
511,Desktop,Android
512,Mobile,Android
513,Desktop,Android
514,Desktop,Windows
515,Desktop,Windows
516,Desktop,macOS
517,Mobile,iOS
518,Mobile,Android
519,Desktop,Windows
520,Mobile,iOS
521,Desktop,Android
522,Desktop,Windows
523,Mobile,iOS
524,Desktop,Android
525,Mobile,iOS
526,Tablet,Android
527,Mobile,Windows
528,Mobile,macOS
529,Mobile,Windows
530,Mobile,Windows
531,Mobile,Android
532,Mobile,Android
533,Desktop,macOS
534,Mobile,macOS
535,Desktop,iOS
536,Mobile,Android
537,Mobile,Android
538,Tablet,Android
539,Mobile,Android
540,Desktop,Android
541,Desktop,iOS
542,Mobile,Android
543,Tablet,iOS
544,Mobile,iOS
545,Desktop,Windows
546,Mobile,Android
547,Desktop,macOS
548,Desktop,Android
549,Mobile,Windows
550,Mobile,Android
551,Tablet,Windows
552,Mobile,iOS
553,Mobile,iOS
554,Mobile,macOS
555,Mobile,macOS
556,Mobile,Windows
557,Desktop,iOS
558,Tablet,iOS
559,Mobile,macOS
560,Mobile,iOS
561,Mobile,Android
562,Desktop,Android
563,Mobile,iOS
564,Mobile,Android
565,Mobile,Android
566,Desktop,iOS
567,Desktop,iOS
568,Desktop,Windows
569,Desktop,Windows
570,Mobile,Android
571,Mobile,Android
572,Desktop,iOS
573,Mobile,Android
574,Mobile,Windows
575,Desktop,iOS
576,Mobile,macOS
577,Desktop,Android
578,Mobile,Android
579,Mobile,iOS
580,Desktop,iOS
581,Desktop,iOS
582,Mobile,Android
583,Mobile,macOS
584,Tablet,Android
585,Mobile,iOS
586,Desktop,Android
587,Desktop,Android
588,Mobile,Android
589,Mobile,Windows
590,Desktop,Android
591,Mobile,iOS
592,Mobile,Windows
593,Mobile,Android
594,Desktop,Android
595,Tablet,Windows
596,Mobile,Android
597,Mobile,iOS
598,Mobile,Android
599,Desktop,iOS
600,Desktop,Android
601,Tablet,Android
602,Mobile,iOS
603,Mobile,Android
604,Mobile,Android
605,Mobile,iOS
606,Tablet,iOS
607,Mobile,iOS
608,Tablet,iOS
609,Mobile,Windows
610,Mobile,iOS
611,Mobile,iOS
612,Mobile,iOS
613,Desktop,Android
614,Desktop,iOS
615,Mobile,Android
616,Mobile,Windows
617,Mobile,Android
618,Mobile,Android
619,Mobile,Android
620,Desktop,iOS
621,Mobile,Android
622,Desktop,Android
623,Mobile,Android
624,Mobile,Android
625,Mobile,Windows
626,Mobile,Android
627,Desktop,Android
628,Desktop,Android
629,Mobile,iOS
630,Mobile,Android
631,Desktop,Windows
632,Desktop,macOS
633,Desktop,Windows
634,Desktop,Android
635,Mobile,Android
636,Desktop,Windows
637,Mobile,Android
638,Mobile,Android
639,Desktop,iOS
640,Mobile,iOS
641,Tablet,Android
642,Desktop,Android
643,Mobile,Windows
644,Desktop,iOS
645,Desktop,iOS
646,Mobile,Android
647,Mobile,iOS
648,Desktop,iOS
649,Mobile,Android
650,Desktop,Windows
651,Desktop,Android
652,Desktop,iOS
653,Desktop,Windows
654,Mobile,Android
655,Mobile,Windows
656,Tablet,iOS
657,Tablet,Windows
658,Mobile,Android
659,Mobile,Android
660,Mobile,iOS
661,Desktop,Windows
662,Mobile,Android
663,Desktop,Windows
664,Mobile,macOS
665,Desktop,iOS
666,Tablet,Android
667,Tablet,iOS
668,Desktop,Android
669,Mobile,Windows
670,Mobile,Android
671,Mobile,Windows
672,Tablet,macOS
673,Mobile,Windows
674,Desktop,Android
675,Mobile,Android
676,Tablet,iOS
677,Tablet,macOS
678,Mobile,iOS
679,Mobile,iOS
680,Mobile,Android
681,Desktop,Android
682,Desktop,Android
683,Mobile,Android
684,Desktop,Android
685,Desktop,Android
686,Mobile,Android
687,Desktop,Android
688,Mobile,Windows
689,Mobile,Android
690,Mobile,Android
691,Mobile,iOS
692,Mobile,macOS
693,Mobile,iOS
694,Desktop,Windows
695,Mobile,Windows
696,Mobile,Android
697,Mobile,iOS
698,Mobile,Android
699,Mobile,iOS
700,Mobile,Android
701,Mobile,Android
702,Mobile,macOS
703,Tablet,iOS
704,Tablet,Android
705,Mobile,Windows
706,Mobile,macOS
707,Mobile,Android
708,Mobile,Android
709,Desktop,Android
710,Desktop,Android
711,Desktop,Android
712,Mobile,iOS
713,Mobile,Windows
714,Mobile,iOS
715,Mobile,Android
716,Mobile,iOS
717,Desktop,Android
718,Mobile,macOS
719,Mobile,iOS
720,Desktop,iOS
721,Desktop,Android
722,Mobile,Android
723,Mobile,Android
724,Desktop,Android
725,Mobile,iOS
726,Mobile,Windows
727,Mobile,Windows
728,Mobile,iOS
729,Desktop,Android
730,Desktop,Android
731,Mobile,Windows
732,Desktop,macOS
733,Mobile,Android
734,Mobile,macOS
735,Mobile,Windows
736,Desktop,iOS
737,Mobile,iOS
738,Mobile,Windows
739,Desktop,macOS
740,Mobile,iOS
741,Mobile,iOS
742,Desktop,Windows
743,Mobile,Windows
744,Mobile,macOS
745,Mobile,Android
746,Mobile,Windows
747,Mobile,macOS
748,Mobile,Android
749,Mobile,Android
750,Desktop,macOS
751,Desktop,iOS
752,Mobile,iOS
753,Mobile,Android
754,Mobile,Android
755,Desktop,Windows
756,Mobile,Android
757,Mobile,iOS
758,Desktop,iOS
759,Mobile,Windows
760,Mobile,Android
761,Mobile,Android
762,Mobile,iOS
763,Desktop,Android
764,Mobile,Android
765,Mobile,Windows
766,Mobile,Android
767,Mobile,Android
768,Desktop,macOS
769,Mobile,Android
770,Mobile,iOS
771,Desktop,Android
772,Mobile,Windows
773,Mobile,Android
774,Mobile,Windows
775,Desktop,macOS
776,Mobile,Windows
777,Mobile,iOS
778,Mobile,Android
779,Mobile,macOS
780,Mobile,Windows
781,Mobile,Android
782,Mobile,Windows
783,Mobile,Windows
784,Mobile,iOS
785,Mobile,Android
786,Desktop,macOS
787,Mobile,macOS
788,Desktop,Android
789,Desktop,Android
790,Mobile,macOS
791,Tablet,Android
792,Mobile,Android
793,Mobile,Android
794,Tablet,iOS
795,Mobile,Windows
796,Mobile,Android
797,Mobile,iOS
798,Mobile,iOS
799,Mobile,Windows
800,Desktop,Android
801,Tablet,macOS
802,Desktop,Android
803,Desktop,Windows
804,Mobile,Windows
805,Mobile,Android
806,Mobile,iOS
807,Mobile,Android
808,Mobile,Android
809,Desktop,iOS
810,Desktop,iOS
811,Mobile,Android
812,Mobile,Windows
813,Mobile,macOS
814,Mobile,Windows
815,Desktop,macOS
816,Mobile,iOS
817,Tablet,Android
818,Desktop,Android
819,Desktop,macOS
820,Mobile,iOS
821,Mobile,Android
822,Desktop,macOS
823,Mobile,Android
824,Mobile,Windows
825,Desktop,Android
826,Mobile,Android
827,Mobile,iOS
828,Desktop,macOS
829,Mobile,Android
830,Mobile,Android
831,Desktop,Windows
832,Mobile,Android
833,Tablet,iOS
834,Mobile,Android
835,Mobile,Android
836,Mobile,iOS
837,Desktop,Android
838,Tablet,iOS
839,Mobile,iOS
840,Mobile,iOS
841,Mobile,Windows
842,Mobile,Android
843,Desktop,macOS
844,Mobile,Android
845,Desktop,macOS
846,Desktop,Windows
847,Tablet,iOS
848,Mobile,Windows
849,Mobile,iOS
850,Tablet,Android
851,Mobile,macOS
852,Mobile,Android
853,Mobile,Android
854,Mobile,Windows
855,Mobile,Android
856,Desktop,iOS
857,Mobile,Android
858,Desktop,Android
859,Mobile,iOS
860,Mobile,Android
861,Mobile,macOS
862,Desktop,Android
863,Desktop,Windows
864,Desktop,Android
865,Mobile,iOS
866,Desktop,Android
867,Desktop,Android
868,Desktop,iOS
869,Desktop,iOS
870,Desktop,Android
871,Desktop,Android
872,Desktop,Windows
873,Desktop,Android
874,Mobile,Windows
875,Desktop,Windows
876,Desktop,Android
877,Mobile,Windows
878,Mobile,Android
879,Mobile,iOS
880,Desktop,Android
881,Desktop,iOS
882,Desktop,Android
883,Mobile,iOS
884,Desktop,Windows
885,Mobile,Windows
886,Mobile,Windows
887,Mobile,Windows
888,Mobile,iOS
889,Mobile,iOS
890,Mobile,macOS
891,Desktop,macOS
892,Mobile,Android
893,Tablet,macOS
894,Mobile,iOS
895,Mobile,iOS
896,Desktop,Android
897,Mobile,macOS
898,Mobile,Android
899,Mobile,Windows
900,Mobile,iOS
901,Mobile,iOS
902,Mobile,iOS
903,Mobile,Android
904,Desktop,Android
905,Mobile,Android
906,Tablet,Windows
907,Mobile,iOS
908,Mobile,iOS
909,Desktop,Android
910,Mobile,Android
911,Mobile,Android
912,Tablet,Android
913,Desktop,iOS
914,Desktop,Android
915,Mobile,macOS
916,Desktop,Android
917,Mobile,Windows
918,Desktop,Android
919,Mobile,Android
920,Desktop,iOS
921,Mobile,Windows
922,Mobile,Android
923,Desktop,iOS
924,Desktop,Android
925,Desktop,Windows
926,Mobile,Windows
927,Mobile,iOS
928,Desktop,Android
929,Mobile,macOS
930,Mobile,iOS
931,Mobile,Android
932,Mobile,Android
933,Mobile,iOS
934,Tablet,iOS
935,Mobile,Windows
936,Mobile,iOS
937,Mobile,iOS
938,Mobile,Windows
939,Mobile,Android
940,Mobile,Android
941,Mobile,Android
942,Mobile,Android
943,Mobile,Windows
944,Mobile,Android
945,Tablet,iOS
946,Desktop,Android
947,Mobile,Android
948,Desktop,iOS
949,Tablet,iOS
950,Mobile,Android
951,Tablet,iOS
952,Desktop,Android
953,Mobile,Android
954,Desktop,Windows
955,Desktop,iOS
956,Mobile,Android
957,Mobile,Android
958,Mobile,Android
959,Mobile,Windows
960,Mobile,Android
961,Desktop,iOS
962,Desktop,Android
963,Mobile,Android
964,Mobile,iOS
965,Mobile,Windows
966,Mobile,Android
967,Tablet,Android
968,Mobile,iOS
969,Mobile,iOS
970,Mobile,Android
971,Mobile,Windows
972,Tablet,iOS
973,Desktop,macOS
974,Mobile,Android
975,Desktop,macOS
976,Desktop,iOS
977,Tablet,Android
978,Mobile,macOS
979,Mobile,iOS
980,Desktop,Windows
981,Desktop,macOS
982,Mobile,iOS
983,Desktop,macOS
984,Desktop,Windows
985,Mobile,macOS
986,Desktop,iOS
987,Desktop,Windows
988,Desktop,Windows
989,Desktop,Windows
990,Desktop,Android
991,Mobile,Android
992,Mobile,iOS
993,Mobile,Windows
994,Mobile,Windows
995,Desktop,iOS
996,Mobile,iOS
997,Tablet,Android
998,Mobile,Windows
999,Mobile,Windows
1000,Tablet,iOS
1001,Mobile,Windows
1002,Desktop,macOS
1003,Mobile,Android
1004,Desktop,Android
1005,Mobile,Windows
1006,Mobile,iOS
1007,Desktop,Android
1008,Mobile,Android
1009,Mobile,Android
1010,Mobile,iOS
1011,Desktop,Android
1012,Tablet,iOS
1013,Desktop,Windows
1014,Tablet,Android
1015,Desktop,macOS
1016,Mobile,Android
1017,Mobile,Android
1018,Desktop,iOS
1019,Desktop,iOS
1020,Desktop,Android
1021,Mobile,Android
1022,Desktop,iOS
1023,Desktop,Windows
1024,Mobile,Android
1025,Tablet,Android
1026,Desktop,iOS
1027,Mobile,iOS
1028,Tablet,iOS
1029,Mobile,Android
1030,Mobile,iOS
1031,Mobile,Windows
1032,Mobile,Android
1033,Desktop,Windows
1034,Desktop,iOS
1035,Desktop,Android
1036,Mobile,iOS
1037,Mobile,Android
1038,Tablet,Android
1039,Mobile,Android
1040,Desktop,Windows
1041,Mobile,Windows
1042,Mobile,iOS
1043,Mobile,macOS
1044,Mobile,iOS
1045,Tablet,Windows
1046,Desktop,Android
1047,Mobile,iOS
1048,Mobile,macOS
1049,Mobile,Windows
1050,Mobile,macOS
1051,Mobile,Android
1052,Mobile,Android
1053,Mobile,iOS
1054,Desktop,macOS
1055,Mobile,iOS
1056,Mobile,Windows
1057,Mobile,iOS
1058,Mobile,Android
1059,Mobile,iOS
1060,Mobile,Android
1061,Desktop,Windows
1062,Mobile,iOS
1063,Mobile,Android
1064,Mobile,Android
1065,Desktop,Android
1066,Mobile,Android
1067,Mobile,Android
1068,Desktop,Windows
1069,Desktop,iOS
1070,Mobile,macOS
1071,Desktop,iOS
1072,Desktop,Android
1073,Mobile,iOS
1074,Mobile,macOS
1075,Desktop,iOS
1076,Mobile,iOS
1077,Mobile,iOS
1078,Mobile,Android
1079,Desktop,iOS
1080,Desktop,Android
1081,Desktop,Windows
1082,Mobile,iOS
1083,Desktop,Android
1084,Tablet,Android
1085,Mobile,Android
1086,Desktop,Android
1087,Mobile,iOS
1088,Mobile,Windows
1089,Mobile,iOS
1090,Desktop,Windows
1091,Mobile,iOS
1092,Mobile,macOS
1093,Mobile,Android
1094,Mobile,Android
1095,Desktop,Windows
1096,Desktop,iOS
1097,Mobile,macOS
1098,Mobile,Android
1099,Mobile,Android
1100,Desktop,iOS
1101,Mobile,Android
1102,Mobile,iOS
1103,Tablet,iOS
1104,Desktop,Windows
1105,Mobile,Android
1106,Desktop,iOS
1107,Desktop,Android
1108,Mobile,iOS
1109,Mobile,macOS
1110,Desktop,Android
1111,Desktop,iOS
1112,Tablet,Android
1113,Mobile,Android
1114,Tablet,Windows
1115,Mobile,Android
1116,Desktop,Android
1117,Mobile,Android
1118,Desktop,Windows
1119,Mobile,Windows
1120,Mobile,iOS
1121,Mobile,Android
1122,Mobile,Android
1123,Mobile,macOS
1124,Mobile,macOS
1125,Mobile,Windows
1126,Desktop,Windows
1127,Desktop,Windows
1128,Mobile,macOS
1129,Mobile,Android
1130,Desktop,iOS
1131,Mobile,macOS
1132,Desktop,Android
1133,Desktop,Android
1134,Mobile,iOS
1135,Mobile,iOS
1136,Desktop,Windows
1137,Desktop,Windows
1138,Mobile,iOS
1139,Mobile,Android
1140,Desktop,Android
1141,Mobile,Android
1142,Mobile,Android
1143,Desktop,Android
1144,Mobile,Android
1145,Desktop,Windows
1146,Mobile,Android
1147,Desktop,macOS
1148,Tablet,Windows
1149,Mobile,Android
1150,Mobile,Android
1151,Mobile,macOS
1152,Desktop,iOS
1153,Desktop,Windows
1154,Mobile,Android
1155,Mobile,macOS
1156,Mobile,Android
1157,Mobile,Windows
1158,Mobile,Android
1159,Mobile,Windows
1160,Mobile,iOS
1161,Mobile,Android
1162,Mobile,Android
1163,Mobile,iOS
1164,Mobile,Android
1165,Tablet,Android
1166,Mobile,Windows
1167,Mobile,Windows
1168,Desktop,Android
1169,Mobile,Windows
1170,Mobile,Android
1171,Desktop,iOS
1172,Desktop,Windows
1173,Mobile,macOS
1174,Mobile,Windows
1175,Tablet,Android
1176,Mobile,iOS
1177,Mobile,Windows
1178,Desktop,iOS
1179,Desktop,iOS
1180,Mobile,Android
1181,Mobile,Android
1182,Desktop,Android
1183,Mobile,iOS
1184,Desktop,iOS
1185,Desktop,Windows
1186,Mobile,Android
1187,Desktop,iOS
1188,Desktop,Windows
1189,Desktop,Android
1190,Mobile,iOS
1191,Desktop,Windows
1192,Mobile,iOS
1193,Desktop,macOS
1194,Desktop,macOS
1195,Desktop,iOS
1196,Mobile,Android
1197,Desktop,iOS
1198,Desktop,macOS
1199,Mobile,Android
1200,Desktop,Android
1201,Mobile,Android
1202,Mobile,macOS
1203,Mobile,iOS
1204,Mobile,Windows
1205,Mobile,iOS
1206,Mobile,Windows
1207,Desktop,iOS
1208,Tablet,Android
1209,Mobile,Android
1210,Tablet,Android
1211,Desktop,Android
1212,Mobile,iOS
1213,Desktop,Android
1214,Desktop,iOS
1215,Mobile,Android
1216,Desktop,iOS
1217,Desktop,Android
1218,Desktop,Android
1219,Mobile,Android
1220,Desktop,iOS
1221,Mobile,iOS
1222,Mobile,Windows
1223,Mobile,iOS
1224,Desktop,Android
1225,Mobile,Windows
1226,Mobile,iOS
1227,Mobile,Windows
1228,Mobile,Windows
1229,Mobile,Windows
1230,Desktop,Android
1231,Tablet,Android
1232,Desktop,iOS
1233,Mobile,Windows
1234,Mobile,Android
1235,Mobile,Windows
1236,Mobile,macOS
1237,Mobile,Android
1238,Desktop,Windows
1239,Desktop,iOS
1240,Mobile,Windows
1241,Mobile,Android
1242,Desktop,iOS
1243,Mobile,macOS
1244,Desktop,Android
1245,Mobile,macOS
1246,Mobile,iOS
1247,Mobile,iOS
1248,Mobile,Windows
1249,Mobile,iOS
1250,Mobile,iOS
1251,Desktop,Android
1252,Desktop,macOS
1253,Mobile,macOS
1254,Tablet,iOS
1255,Desktop,iOS
1256,Mobile,iOS
1257,Mobile,Android
1258,Mobile,iOS
1259,Mobile,Android
1260,Mobile,Android
1261,Mobile,iOS
1262,Tablet,Android
1263,Mobile,Android
1264,Desktop,Windows
1265,Desktop,Android
1266,Desktop,Android
1267,Desktop,macOS
1268,Mobile,macOS
1269,Mobile,Android
1270,Mobile,iOS
1271,Desktop,Android
1272,Desktop,macOS
1273,Tablet,iOS
1274,Mobile,Windows
1275,Mobile,Windows
1276,Mobile,iOS
1277,Mobile,iOS
1278,Mobile,Android
1279,Mobile,Android
1280,Desktop,iOS
1281,Mobile,iOS
1282,Mobile,Android
1283,Mobile,Android
1284,Mobile,Windows
1285,Desktop,Android
1286,Mobile,Android
1287,Mobile,iOS
1288,Tablet,Android
1289,Mobile,Android
1290,Mobile,Android
1291,Mobile,Windows
