case_id,transaction_id,customer_id,case_open_date,case_severity,investigation_status,resolution_hours
154,7582,39722,2026-10-11,Medium,Closed - No Fraud,4.3
155,7587,44870,2025-09-25,Low,Confirmed Fraud,16.0
156,7601,37260,2025-03-20,High,Confirmed Fraud,4.5
157,8058,45387,2026-05-10,Medium,Confirmed Fraud,19.6
158,8105,19740,2025-11-13,High,Confirmed Fraud,10.0
159,8120,24788,2026-06-27,High,Under Review,4.6
160,8142,46881,2026-07-24,High,Closed - No Fraud,14.4
161,8156,23851,2026-07-07,Medium,Under Review,11.7
162,8163,35198,2025-12-01,High,Confirmed Fraud,4.8
163,8171,6777,2026-07-19,High,Confirmed Fraud,9.4
164,8202,38025,2025-08-26,Medium,Confirmed Fraud,3.9
165,8235,45128,2025-04-16,Low,Confirmed Fraud,20.0
166,8284,6624,2026-02-28,High,Under Review,6.0
167,8332,41473,2026-07-14,Low,Confirmed Fraud,19.3
168,8337,32151,2025-12-15,High,Confirmed Fraud,9.0
169,8637,19725,2026-07-23,High,Closed - No Fraud,10.8
170,8670,45978,2026-12-02,High,Confirmed Fraud,18.5
171,8682,44053,2025-05-19,Medium,Confirmed Fraud,8.0
172,8687,46122,2025-11-04,High,Confirmed Fraud,34.8
173,8798,14823,2026-02-14,High,Confirmed Fraud,6.6
174,8810,14824,2025-05-08,Low,Confirmed Fraud,8.5
175,8860,21952,2025-11-11,High,Confirmed Fraud,16.7
176,8864,10657,2026-05-18,Medium,Confirmed Fraud,30.3
177,8922,39999,2025-07-31,Medium,Under Review,66.8
178,8932,5870,2025-04-23,Low,Under Review,6.5
179,8975,48042,2026-02-28,Medium,Confirmed Fraud,7.2
180,9038,4382,2026-09-30,Medium,Confirmed Fraud,25.3
181,9041,22926,2025-10-09,Medium,Confirmed Fraud,9.3
182,9055,11555,2025-01-25,High,Confirmed Fraud,12.1
183,9064,49821,2025-04-05,Critical,Under Review,11.3
184,9080,20988,2025-09-26,Medium,Confirmed Fraud,6.1
185,9162,21420,2026-01-19,High,Under Review,60.5
186,9237,39801,2026-04-18,Medium,Confirmed Fraud,41.5
187,9251,21288,2025-10-13,Medium,Confirmed Fraud,7.8
188,9255,14418,2026-12-27,Medium,Confirmed Fraud,16.0
189,9330,9699,2026-08-04,Critical,Under Review,19.5
190,9341,31157,2025-06-20,Critical,Confirmed Fraud,11.6
191,9352,13780,2025-09-16,High,False Positive,3.6
192,9358,46905,2025-03-19,High,False Positive,29.9
193,9412,16374,2026-01-22,Medium,Confirmed Fraud,38.3
194,9551,41394,2025-11-15,High,Closed - No Fraud,6.4
195,9575,33302,2025-12-15,High,Confirmed Fraud,18.3
196,9584,38330,2026-09-13,Medium,Under Review,24.9
197,9590,34648,2025-10-19,Critical,Confirmed Fraud,61.0
198,9597,8224,2025-05-23,High,Confirmed Fraud,9.4
199,9605,49927,2026-01-14,High,Confirmed Fraud,2.5
200,9618,14447,2025-03-24,Low,Confirmed Fraud,19.3
201,9658,11934,2026-10-09,Medium,Under Review,6.2
202,9697,34864,2025-04-01,Critical,False Positive,12.5
203,9729,10325,2025-10-11,High,Under Review,19.6
204,9788,25935,2026-06-23,Medium,Confirmed Fraud,12.3
205,9825,15646,2025-06-13,Medium,Confirmed Fraud,17.9
206,9885,7142,2025-04-23,Critical,Confirmed Fraud,43.6
207,9909,43339,2026-06-26,Medium,Confirmed Fraud,7.3
208,9963,33010,2026-04-13,High,Confirmed Fraud,9.6
209,10023,47048,2026-05-30,Medium,Closed - No Fraud,13.9
210,10045,23411,2025-02-09,Low,Under Review,18.9
211,10055,44024,2026-06-25,High,Confirmed Fraud,14.3
212,10060,6518,2025-11-21,Medium,Confirmed Fraud,18.7
213,10136,47407,2025-07-14,High,False Positive,26.1
214,10151,23377,2025-03-13,Medium,Confirmed Fraud,13.2
215,10160,47012,2025-02-14,Critical,Confirmed Fraud,8.5
216,10226,26979,2025-05-04,Critical,Confirmed Fraud,11.8
217,10253,4741,2026-08-23,Medium,Confirmed Fraud,36.4
218,10256,35980,2025-06-11,High,Under Review,22.9
219,10278,7625,2025-06-08,Medium,Closed - No Fraud,22.4
220,10290,17399,2025-05-21,Low,Confirmed Fraud,13.6
221,10329,9896,2026-06-07,Low,Confirmed Fraud,5.1
222,10346,22472,2026-11-17,High,Confirmed Fraud,4.2
223,10354,3323,2025-04-08,Medium,Confirmed Fraud,6.6
224,10355,21707,2026-12-13,Critical,False Positive,15.3
225,10392,10014,2026-08-02,Low,Confirmed Fraud,11.9
226,10423,45839,2025-06-04,Critical,Confirmed Fraud,19.6
227,10432,43122,2025-10-17,Medium,Confirmed Fraud,33.5
228,10456,48110,2026-08-16,Low,Closed - No Fraud,55.0
229,10510,32591,2026-12-02,Medium,Closed - No Fraud,21.1
230,10577,11695,2026-05-26,Medium,False Positive,3.4
231,10611,45581,2026-08-14,Critical,Closed - No Fraud,2.5
232,10616,29014,2026-07-03,Critical,False Positive,5.3
233,10632,12437,2025-12-21,Medium,Closed - No Fraud,12.1
234,10654,3992,2025-12-18,High,False Positive,12.3
235,10659,37365,2026-05-06,Critical,False Positive,23.1
236,10696,6047,2026-08-28,High,Closed - No Fraud,2.0
237,10740,41456,2025-01-16,Critical,Under Review,7.3
238,10764,3624,2025-11-12,Critical,Confirmed Fraud,11.0
239,10776,45400,2026-07-29,High,Closed - No Fraud,14.3
240,10843,30618,2025-02-22,Low,Confirmed Fraud,11.8
241,10852,46940,2025-04-02,Low,Closed - No Fraud,46.0
242,10896,43625,2025-06-30,Low,Confirmed Fraud,24.8
243,10909,36242,2025-05-01,Medium,Confirmed Fraud,31.3
244,10912,17398,2026-11-09,Medium,Confirmed Fraud,4.3
245,10941,16670,2026-11-17,Medium,Confirmed Fraud,2.3
246,10961,5538,2025-10-05,Medium,Confirmed Fraud,19.7
247,10966,25813,2025-07-22,High,Closed - No Fraud,2.0
248,11040,14376,2025-09-17,High,Confirmed Fraud,9.2
249,11066,41772,2025-08-27,Low,False Positive,8.5
250,11211,37172,2025-02-23,High,Closed - No Fraud,8.3
251,11292,38477,2025-06-30,High,Confirmed Fraud,16.9
252,11329,27506,2025-03-19,High,Confirmed Fraud,3.0
253,11331,34853,2026-07-22,Medium,Closed - No Fraud,5.6
254,11365,19059,2026-07-15,Critical,Closed - No Fraud,5.3
255,11393,12335,2025-05-29,Low,Closed - No Fraud,11.1
256,11394,14101,2025-06-21,High,Confirmed Fraud,11.4
257,11427,22350,2025-12-26,High,Confirmed Fraud,12.9
258,11437,32363,2026-11-16,Medium,Confirmed Fraud,4.4
259,11451,14090,2025-02-07,Medium,Confirmed Fraud,4.1
260,11490,46031,2026-01-05,High,False Positive,3.9
261,11493,42611,2026-02-05,Medium,Closed - No Fraud,25.8
262,11514,8314,2026-11-29,High,Confirmed Fraud,17.4
263,11522,46190,2025-12-06,High,Under Review,9.6
264,11572,28566,2025-04-02,High,Under Review,31.9
265,11582,14630,2026-03-03,High,Confirmed Fraud,13.6
266,11590,7697,2025-03-10,High,Confirmed Fraud,5.8
267,11606,22786,2026-11-18,Medium,Confirmed Fraud,29.1
268,11625,29007,2025-05-26,High,Confirmed Fraud,12.3
269,11633,24926,2025-11-21,Medium,Confirmed Fraud,6.0
270,11705,30406,2026-07-08,Low,Confirmed Fraud,2.5
271,11757,6905,2025-11-23,High,Confirmed Fraud,24.6
272,11786,14932,2026-07-29,Critical,Confirmed Fraud,10.4
273,11788,36015,2025-07-17,High,Confirmed Fraud,19.5
274,11804,5154,2025-03-24,Low,False Positive,18.2
275,11882,42296,2025-12-12,Critical,Confirmed Fraud,6.0
276,11940,24393,2025-11-29,Medium,Closed - No Fraud,2.3
277,12042,20122,2026-09-28,Critical,Confirmed Fraud,37.4
278,12054,7222,2025-08-09,High,Closed - No Fraud,16.0
279,12055,28176,2026-06-25,Medium,Closed - No Fraud,20.6
280,12060,10199,2025-12-06,Medium,Confirmed Fraud,3.9
281,12061,44871,2025-10-28,Medium,Confirmed Fraud,6.2
282,12065,676,2026-02-22,Medium,Confirmed Fraud,9.4
283,12116,49982,2025-12-02,Medium,Confirmed Fraud,11.1
284,12220,3520,2025-12-31,Medium,Confirmed Fraud,9.6
285,12224,21486,2025-08-15,High,Confirmed Fraud,1.9
286,12240,44941,2025-01-29,Critical,Confirmed Fraud,2.9
287,12279,9980,2026-10-10,High,Confirmed Fraud,30.7
288,12327,31395,2026-06-12,Low,Confirmed Fraud,6.2
289,12360,17253,2026-12-01,High,Closed - No Fraud,17.6
290,12397,22975,2026-12-11,High,Confirmed Fraud,7.2
291,12417,3506,2025-03-10,Critical,Confirmed Fraud,17.2
292,12433,11540,2025-01-14,High,Confirmed Fraud,25.2
293,12479,4843,2026-12-01,High,False Positive,3.6
294,12522,30423,2026-10-01,High,Closed - No Fraud,9.8
295,12538,19393,2025-09-04,Medium,Confirmed Fraud,4.7
296,12620,24105,2025-05-14,Critical,Confirmed Fraud,6.1
297,12627,37049,2025-06-29,High,Confirmed Fraud,26.8
298,12740,38061,2025-06-05,Medium,Confirmed Fraud,4.5
299,12747,32751,2025-02-18,Critical,Closed - No Fraud,10.4
300,12769,17329,2026-09-18,Medium,Confirmed Fraud,17.3
301,12866,31730,2026-01-05,High,Confirmed Fraud,13.2
302,12892,38492,2026-02-12,Critical,Confirmed Fraud,3.3
303,12923,5672,2026-02-24,High,Confirmed Fraud,34.2
304,12949,19608,2026-06-20,High,Confirmed Fraud,71.9
305,13018,3688,2025-08-13,Critical,False Positive,4.6
306,13057,23409,2026-08-19,Low,False Positive,7.4
307,13066,46389,2025-02-01,Critical,Confirmed Fraud,11.5
308,13084,29236,2026-05-22,High,Confirmed Fraud,6.3
309,13120,15251,2025-10-01,Medium,Confirmed Fraud,58.1
310,13167,4340,2025-03-12,Medium,Confirmed Fraud,16.9
311,13279,44854,2025-01-19,Low,Confirmed Fraud,6.4
312,13302,26302,2025-02-05,High,Closed - No Fraud,24.7
313,13337,32407,2026-06-11,Low,Confirmed Fraud,12.1
314,13406,35094,2025-07-14,Low,Confirmed Fraud,17.5
315,13421,10681,2025-08-04,Medium,Confirmed Fraud,5.5
316,13444,18233,2026-10-20,Medium,Closed - No Fraud,11.9
317,13446,7551,2025-04-11,High,Confirmed Fraud,7.2
318,13447,14395,2026-06-08,Medium,Closed - No Fraud,10.8
319,13461,5731,2025-06-15,High,Closed - No Fraud,5.6
320,13563,12381,2026-06-13,Critical,Closed - No Fraud,3.9
321,13564,29728,2026-05-29,Low,Confirmed Fraud,11.1
322,13624,14260,2026-04-10,Medium,Confirmed Fraud,30.8
323,13627,36457,2026-07-11,Medium,Confirmed Fraud,11.3
324,13673,34000,2025-02-09,High,False Positive,19.8
325,13675,15154,2025-07-07,High,False Positive,7.3
326,13700,5870,2025-05-04,High,Confirmed Fraud,10.6
327,13754,42450,2025-01-24,Low,Confirmed Fraud,2.0
328,13880,21635,2025-08-01,Critical,Closed - No Fraud,23.5
329,13916,15048,2026-09-11,Medium,Confirmed Fraud,18.5
330,13926,4806,2026-08-09,High,Confirmed Fraud,4.7
331,13933,34815,2025-05-14,Medium,Confirmed Fraud,7.7
332,13998,14503,2026-08-25,Medium,Confirmed Fraud,7.6
333,14085,11623,2025-01-18,Medium,Confirmed Fraud,38.5
334,14184,19009,2025-08-24,High,False Positive,9.9
335,14221,19740,2025-12-01,Medium,Confirmed Fraud,10.2
336,14268,39815,2025-06-28,Medium,Confirmed Fraud,63.8
337,14280,48404,2025-02-04,High,Confirmed Fraud,8.2
338,14308,47246,2026-10-27,Medium,Confirmed Fraud,28.9
339,14310,28909,2026-01-04,High,Confirmed Fraud,7.8
340,14314,45747,2026-12-03,High,False Positive,2.2
341,14361,862,2026-06-29,High,Under Review,2.3
342,14384,21216,2025-06-26,Low,Confirmed Fraud,10.0
343,14409,15453,2026-01-14,Medium,Confirmed Fraud,4.9
344,14415,38431,2026-08-16,High,Confirmed Fraud,14.1
345,14466,34488,2025-03-31,High,Closed - No Fraud,13.2
346,14565,39694,2026-07-26,High,Confirmed Fraud,6.8
347,14595,2663,2026-02-08,Medium,Confirmed Fraud,16.3
348,14615,11270,2025-08-06,High,Confirmed Fraud,4.7
349,14629,22261,2025-05-20,Low,Confirmed Fraud,11.3
350,14668,48153,2025-03-04,Low,Confirmed Fraud,2.4
351,14834,3766,2026-03-18,Critical,Confirmed Fraud,44.8
352,14855,46035,2026-03-26,High,False Positive,39.6
353,14860,207,2026-12-31,High,False Positive,14.2
354,14884,49229,2025-10-09,Medium,Confirmed Fraud,16.6
355,14909,49229,2025-03-31,Medium,Confirmed Fraud,27.1
356,14922,8261,2025-07-23,High,False Positive,6.4
357,14969,7136,2025-12-25,High,Confirmed Fraud,8.9
358,14981,9687,2025-04-19,High,Confirmed Fraud,12.3
359,14998,35432,2026-03-26,Low,Confirmed Fraud,8.9
360,15066,45983,2026-05-14,Medium,Closed - No Fraud,6.4
361,15086,43413,2025-04-10,Low,Confirmed Fraud,11.2
362,15232,23101,2025-06-27,Critical,Under Review,4.3
363,15282,16866,2025-04-15,High,Confirmed Fraud,29.6
364,15334,6995,2026-10-22,Critical,Confirmed Fraud,15.8
365,15360,26879,2025-09-24,Low,Confirmed Fraud,11.4
366,15386,10562,2025-10-02,High,Confirmed Fraud,15.3
367,15387,32289,2025-09-29,Medium,False Positive,9.3
368,15430,3092,2025-07-18,High,Closed - No Fraud,15.8
369,15521,3037,2025-12-27,Low,Confirmed Fraud,13.6
370,15545,25985,2025-03-15,Low,Confirmed Fraud,7.3
371,15613,8740,2025-02-22,Medium,False Positive,1.2
372,15651,34859,2025-02-05,Medium,False Positive,49.8
373,15688,11802,2025-01-25,Critical,Confirmed Fraud,6.3
374,15700,40847,2026-10-10,Low,Confirmed Fraud,18.5
375,15701,40238,2026-08-02,Critical,Confirmed Fraud,11.9
376,15744,23674,2025-05-17,High,Confirmed Fraud,14.8
377,15822,43052,2025-09-26,Medium,Confirmed Fraud,21.6
378,15898,25894,2025-05-26,Medium,Confirmed Fraud,13.8
379,15913,7916,2025-08-08,Medium,Confirmed Fraud,13.7
380,15980,43724,2025-09-18,High,False Positive,20.5
381,16045,8694,2025-09-17,Medium,Confirmed Fraud,20.7
382,16052,45207,2025-02-22,Low,Confirmed Fraud,10.5
383,16123,44712,2025-11-22,High,Confirmed Fraud,1.7
384,16159,14914,2025-07-02,Medium,Confirmed Fraud,15.4
385,16163,30050,2025-06-03,Low,Confirmed Fraud,11.7
386,16251,37944,2026-08-10,Low,Confirmed Fraud,4.4
387,16280,19028,2025-03-22,High,Confirmed Fraud,23.0
388,16383,9081,2026-05-26,Low,Confirmed Fraud,14.6
389,16409,8317,2026-02-14,Critical,Confirmed Fraud,13.9
390,16415,15226,2025-04-21,High,Confirmed Fraud,12.2
391,16476,27705,2026-07-09,High,Confirmed Fraud,12.1
392,16484,17885,2026-04-29,High,Confirmed Fraud,7.1
393,16556,25262,2026-03-14,Medium,False Positive,11.4
394,16630,28212,2026-05-06,High,Closed - No Fraud,15.8
395,16644,8461,2026-03-20,Medium,Confirmed Fraud,9.9
396,16702,28310,2025-07-21,Critical,Confirmed Fraud,10.2
397,16706,3685,2025-09-11,Low,Confirmed Fraud,33.5
398,16718,42076,2025-10-14,High,Confirmed Fraud,5.8
399,16807,19772,2025-05-24,Medium,Confirmed Fraud,4.2
400,16819,4876,2025-09-02,Low,Closed - No Fraud,11.1
401,16833,25641,2026-03-24,High,Confirmed Fraud,7.5
402,16840,33345,2025-06-04,Medium,Confirmed Fraud,25.3
403,16848,39634,2026-04-07,High,Confirmed Fraud,38.8
404,16878,40386,2026-03-18,Medium,Confirmed Fraud,8.6
405,16906,4952,2026-12-24,High,Confirmed Fraud,7.3
406,16912,45842,2025-10-28,High,Confirmed Fraud,62.7
407,16929,45843,2025-11-14,Low,Confirmed Fraud,5.6
408,16966,14765,2025-08-19,High,Confirmed Fraud,20.0
409,17010,32093,2025-11-04,Medium,False Positive,12.6
410,17018,33957,2025-11-25,Medium,Closed - No Fraud,6.5
411,17072,13300,2025-01-04,Critical,Confirmed Fraud,11.8
412,17118,33164,2025-02-17,Critical,False Positive,7.8
413,17131,48887,2026-10-08,High,Closed - No Fraud,4.9
414,17140,12656,2025-01-19,High,Confirmed Fraud,16.1
415,17249,11603,2025-03-27,Critical,Confirmed Fraud,18.6
416,17268,32784,2026-07-28,High,Confirmed Fraud,3.6
417,17312,42472,2025-01-02,Critical,False Positive,5.1
418,17346,32663,2026-12-24,High,Confirmed Fraud,12.4
419,17366,32192,2025-01-25,High,Under Review,4.6
420,17371,42178,2025-08-09,High,Confirmed Fraud,2.7
421,17436,36162,2026-12-20,Medium,Confirmed Fraud,2.2
422,17462,46592,2025-05-01,Low,Confirmed Fraud,9.6
423,17625,38520,2026-06-17,Medium,Confirmed Fraud,12.4
424,17646,43628,2026-02-19,High,Confirmed Fraud,7.9
425,17678,15658,2026-03-27,Medium,Confirmed Fraud,16.7
426,17759,2752,2026-04-03,High,Closed - No Fraud,4.3
427,17806,15927,2025-11-20,Medium,False Positive,17.0
428,17838,49789,2025-04-24,Medium,Confirmed Fraud,10.4
429,17929,13407,2025-12-12,Medium,Confirmed Fraud,9.3
430,18007,7657,2026-11-27,High,Confirmed Fraud,7.4
431,18011,32855,2026-07-06,Medium,Confirmed Fraud,7.8
432,18041,28459,2025-02-06,High,Confirmed Fraud,9.4
433,18079,18826,2025-08-12,Medium,Confirmed Fraud,21.4
434,18142,46475,2026-06-06,High,Confirmed Fraud,19.0
435,18148,47245,2025-09-10,High,Confirmed Fraud,7.6
436,18194,18250,2025-09-21,Medium,Confirmed Fraud,11.0
437,18353,2227,2025-12-14,High,Confirmed Fraud,13.1
438,18360,41155,2025-03-20,Critical,Confirmed Fraud,8.0
439,18372,21820,2025-07-16,Critical,Confirmed Fraud,5.5
440,18387,22420,2025-07-01,Low,Confirmed Fraud,5.7
441,18413,29265,2025-07-27,High,Confirmed Fraud,2.9
442,18430,6794,2025-09-26,Medium,Confirmed Fraud,11.7
443,18536,46292,2026-04-13,Medium,Confirmed Fraud,19.6
444,18550,27549,2025-01-28,Low,Confirmed Fraud,9.3
445,18574,14010,2025-04-26,High,Confirmed Fraud,36.3
446,18575,12836,2026-04-08,Critical,Confirmed Fraud,3.7
447,18585,36042,2025-08-04,Medium,Confirmed Fraud,17.3
