friction_event_id,transaction_id,customer_id,event_datetime,friction_type,resolution
87,1122,15070,2025-01-16 06:23:00,Verification Required,Resolved
88,1136,14140,2026-07-13 03:48:00,Verification Required,Resolved
89,1165,27310,2025-01-27 22:32:00,Payment Decline,Resolved
90,1184,6664,2025-07-02 15:49:00,Payment Decline,Resolved
91,1200,19196,2025-08-02 18:46:00,Repeated Payment Attempt,Resolved
92,1250,7423,2026-12-29 20:59:00,Account Review,Resolved After Retry
93,1255,14245,2026-11-27 13:41:00,Payment Decline,Resolved
94,1275,31227,2026-07-16 08:20:00,Verification Required,Resolved
95,1287,4280,2026-11-28 14:33:00,Payment Decline,Resolved
96,1302,32250,2026-10-18 17:02:00,Verification Required,Resolved
97,1320,20931,2026-01-08 00:37:00,Payment Decline,Resolved
98,1336,2515,2026-11-07 12:43:00,Payment Decline,Resolved
99,1354,40524,2026-03-21 18:02:00,Repeated Payment Attempt,Resolved
100,1374,9791,2026-12-13 20:33:00,Payment Decline,Resolved
101,1396,3492,2025-08-12 04:03:00,Payment Decline,Resolved
102,1448,6776,2026-08-14 14:38:00,Repeated Payment Attempt,Resolved After Retry
103,1479,9555,2026-11-05 19:49:00,Account Review,Resolved
104,1483,3714,2026-10-10 18:14:00,Payment Decline,Resolved
105,1504,49917,2026-06-19 23:29:00,Payment Decline,Resolved
106,1508,17378,2026-02-09 09:30:00,Repeated Payment Attempt,Resolved
107,1532,22910,2026-09-28 14:40:00,Payment Decline,Resolved
108,1535,2384,2026-04-16 16:46:00,Payment Decline,Resolved
109,1536,44033,2025-12-13 00:57:00,Payment Decline,Resolved
110,1557,9142,2025-03-20 16:37:00,Account Review,Resolved
111,1564,8344,2026-10-25 03:35:00,Payment Decline,Resolved
112,1581,18668,2025-06-18 05:51:00,Payment Decline,Resolved
113,1599,40627,2026-01-07 01:14:00,Payment Decline,Resolved
114,1605,7588,2026-07-27 06:06:00,Repeated Payment Attempt,Resolved
115,1624,40624,2025-12-11 01:08:00,Payment Decline,Resolved
116,1655,27319,2025-06-28 21:17:00,Account Review,Resolved
117,1696,47158,2026-05-28 19:28:00,Repeated Payment Attempt,Resolved
118,1701,40596,2026-10-07 20:39:00,Verification Required,Resolved
119,1703,45477,2025-02-07 03:13:00,Payment Decline,Resolved
120,1709,29697,2026-08-28 08:12:00,Account Review,Resolved
121,1721,37594,2025-11-12 15:06:00,Payment Decline,Resolved After Retry
122,1726,32865,2026-05-06 00:30:00,Payment Decline,Resolved
123,1728,7227,2026-05-15 10:55:00,Repeated Payment Attempt,Resolved
124,1733,9003,2026-09-07 09:42:00,Repeated Payment Attempt,Resolved
125,1737,30567,2026-02-16 12:20:00,Payment Decline,Resolved
126,1739,36538,2025-01-16 08:44:00,Verification Required,Resolved
127,1743,17937,2026-05-03 14:56:00,Repeated Payment Attempt,Unresolved
128,1774,47110,2025-10-26 13:52:00,Payment Decline,Resolved
129,1799,29955,2026-12-01 21:16:00,Payment Decline,Resolved After Retry
130,1824,19152,2026-11-29 06:29:00,Payment Decline,Resolved
131,1829,49162,2026-09-07 05:23:00,Repeated Payment Attempt,Unresolved
132,1832,20642,2025-06-27 19:10:00,Payment Decline,Resolved After Retry
133,1852,34321,2026-09-11 17:12:00,Payment Decline,Resolved After Retry
134,1882,46343,2025-07-31 17:22:00,Verification Required,Resolved
135,1891,39416,2025-02-26 17:27:00,Repeated Payment Attempt,Resolved After Retry
136,1899,36637,2025-12-13 21:05:00,Account Review,Resolved
137,1900,37799,2026-03-07 20:25:00,Verification Required,Resolved
138,1922,40119,2025-12-09 09:00:00,Account Review,Resolved
139,1936,14568,2025-09-18 04:57:00,Repeated Payment Attempt,Resolved
140,1950,45729,2026-06-30 19:36:00,Verification Required,Resolved
141,1957,25979,2025-04-21 02:16:00,Payment Decline,Resolved
142,1972,4579,2026-06-02 23:19:00,Verification Required,Unresolved
143,1986,49412,2026-10-17 03:32:00,Payment Decline,Resolved
144,1992,28736,2026-07-25 09:17:00,Payment Decline,Resolved After Retry
145,2004,10183,2025-06-28 08:21:00,Payment Decline,Resolved
146,2017,24576,2026-08-16 15:46:00,Repeated Payment Attempt,Resolved
147,2033,41668,2026-10-27 03:09:00,Repeated Payment Attempt,Resolved
148,2037,34312,2026-01-01 07:15:00,Payment Decline,Resolved
149,2040,18666,2025-08-27 10:40:00,Repeated Payment Attempt,Unresolved
150,2057,39167,2025-05-20 09:19:00,Verification Required,Unresolved
151,2065,5939,2026-08-22 00:47:00,Payment Decline,Resolved
152,2071,28457,2026-02-02 19:42:00,Payment Decline,Resolved
153,2081,9776,2025-10-22 07:56:00,Payment Decline,Resolved
154,2104,33622,2026-01-27 09:00:00,Repeated Payment Attempt,Resolved
155,2117,14568,2026-11-05 15:35:00,Payment Decline,Resolved
156,2118,34622,2026-08-25 03:32:00,Payment Decline,Resolved
157,2127,2913,2026-11-09 03:58:00,Payment Decline,Resolved
158,2130,42850,2025-04-23 14:04:00,Account Review,Resolved
159,2163,11215,2026-02-16 23:27:00,Verification Required,Resolved After Retry
160,2166,35932,2026-02-03 13:28:00,Repeated Payment Attempt,Resolved After Retry
161,2181,40769,2025-01-04 04:01:00,Payment Decline,Resolved
162,2190,48869,2025-07-25 22:28:00,Payment Decline,Resolved After Retry
163,2201,45092,2026-05-10 19:02:00,Payment Decline,Resolved
164,2217,31136,2026-07-16 02:39:00,Payment Decline,Resolved After Retry
165,2221,46316,2025-04-06 03:15:00,Verification Required,Resolved
166,2252,3608,2025-01-05 23:31:00,Payment Decline,Resolved
167,2289,22906,2026-08-19 15:53:00,Account Review,Resolved
168,2296,27859,2026-07-24 10:49:00,Verification Required,Resolved
169,2301,19979,2025-02-24 13:16:00,Account Review,Resolved
170,2317,41501,2025-12-21 01:43:00,Payment Decline,Unresolved
171,2332,29995,2026-12-13 23:58:00,Payment Decline,Resolved
172,2334,36714,2025-12-06 04:03:00,Verification Required,Resolved
173,2348,9281,2025-08-26 06:59:00,Payment Decline,Resolved
174,2387,3049,2026-11-21 17:18:00,Verification Required,Resolved After Retry
175,2410,11716,2025-01-30 10:52:00,Payment Decline,Resolved
176,2448,41089,2026-07-07 13:11:00,Repeated Payment Attempt,Resolved
177,2462,10690,2026-01-03 13:15:00,Payment Decline,Resolved
178,2487,20746,2025-03-01 10:30:00,Payment Decline,Resolved
179,2492,31587,2025-08-17 10:13:00,Repeated Payment Attempt,Resolved
180,2516,20166,2026-05-15 18:11:00,Account Review,Resolved
181,2524,45962,2026-09-07 20:14:00,Payment Decline,Resolved
182,2526,31019,2026-03-16 13:31:00,Payment Decline,Resolved
183,2539,11446,2025-06-18 23:08:00,Verification Required,Resolved
184,2551,27637,2025-11-30 06:12:00,Account Review,Resolved
185,2555,495,2026-07-31 16:17:00,Payment Decline,Resolved
186,2589,49998,2026-11-21 13:16:00,Payment Decline,Resolved After Retry
187,2603,20455,2025-05-15 21:53:00,Verification Required,Resolved
188,2609,22156,2025-12-22 22:33:00,Payment Decline,Resolved
189,2631,27506,2025-02-20 21:09:00,Repeated Payment Attempt,Resolved After Retry
190,2634,20398,2026-09-12 04:24:00,Payment Decline,Unresolved
191,2637,30255,2025-10-22 21:04:00,Payment Decline,Resolved
192,2659,10931,2025-12-01 07:13:00,Repeated Payment Attempt,Resolved
193,2683,49995,2025-11-24 03:12:00,Repeated Payment Attempt,Resolved
194,2685,14831,2026-08-07 10:06:00,Payment Decline,Resolved
195,2695,17442,2025-04-13 02:10:00,Payment Decline,Resolved After Retry
196,2700,2781,2025-01-26 13:34:00,Account Review,Resolved After Retry
197,2709,20222,2026-07-18 21:37:00,Payment Decline,Resolved
198,2712,9144,2025-05-12 07:12:00,Verification Required,Resolved After Retry
199,2718,33108,2026-12-08 02:26:00,Payment Decline,Resolved After Retry
200,2736,35121,2026-08-28 19:51:00,Payment Decline,Unresolved
201,2749,34858,2026-10-12 10:33:00,Account Review,Resolved
202,2751,13112,2026-01-08 01:17:00,Repeated Payment Attempt,Resolved
203,2757,15611,2025-12-18 01:11:00,Repeated Payment Attempt,Resolved
204,2784,46247,2026-01-10 05:17:00,Payment Decline,Resolved After Retry
205,2786,7924,2025-08-23 10:46:00,Account Review,Resolved After Retry
206,2797,30013,2026-07-18 00:27:00,Payment Decline,Resolved
207,2799,19372,2025-08-26 16:21:00,Repeated Payment Attempt,Resolved
208,2820,35280,2025-10-17 17:16:00,Payment Decline,Resolved
209,2836,42017,2026-09-23 15:56:00,Payment Decline,Resolved
210,2838,29663,2026-02-07 22:48:00,Repeated Payment Attempt,Resolved After Retry
211,2900,48060,2026-03-05 00:43:00,Payment Decline,Resolved
212,2909,44352,2025-05-22 15:49:00,Payment Decline,Resolved After Retry
213,2919,16525,2026-05-24 18:20:00,Payment Decline,Resolved
214,2939,5595,2025-01-21 01:07:00,Verification Required,Resolved
215,2960,38612,2025-10-11 12:29:00,Payment Decline,Resolved
216,2979,32467,2025-06-17 13:50:00,Payment Decline,Resolved
217,2980,21515,2026-03-19 11:34:00,Payment Decline,Resolved After Retry
218,2999,10464,2025-07-22 06:24:00,Account Review,Resolved
219,3020,126,2025-09-15 22:10:00,Payment Decline,Resolved
220,3047,24705,2025-12-11 12:51:00,Verification Required,Unresolved
221,3062,7410,2026-06-30 23:53:00,Account Review,Unresolved
222,3070,12310,2026-04-10 05:19:00,Payment Decline,Resolved
223,3114,15214,2026-09-11 13:45:00,Verification Required,Resolved After Retry
224,3138,27697,2026-02-18 04:57:00,Repeated Payment Attempt,Resolved After Retry
225,3141,3054,2026-11-08 09:14:00,Repeated Payment Attempt,Resolved After Retry
226,3164,48238,2025-01-01 15:27:00,Verification Required,Resolved
227,3173,47982,2025-05-03 16:24:00,Payment Decline,Unresolved
228,3234,3823,2026-12-27 19:55:00,Repeated Payment Attempt,Resolved After Retry
229,3260,26664,2025-06-08 03:15:00,Account Review,Resolved
230,3273,7934,2025-11-27 09:07:00,Repeated Payment Attempt,Resolved
231,3275,31800,2025-01-30 07:14:00,Payment Decline,Unresolved
232,3279,24031,2026-02-19 01:58:00,Payment Decline,Resolved
233,3281,29906,2025-08-03 16:54:00,Payment Decline,Resolved
234,3300,42771,2026-10-20 19:56:00,Account Review,Resolved
235,3308,20428,2026-07-18 12:49:00,Payment Decline,Resolved
236,3314,10200,2026-02-03 17:16:00,Payment Decline,Resolved
237,3339,17968,2026-06-22 12:31:00,Verification Required,Resolved After Retry
238,3341,49812,2026-07-03 09:44:00,Payment Decline,Resolved
239,3345,16050,2026-02-02 21:19:00,Account Review,Resolved After Retry
240,3357,33388,2026-11-22 11:11:00,Account Review,Resolved
241,3376,20336,2025-12-02 09:38:00,Repeated Payment Attempt,Resolved
242,3397,31902,2025-04-07 19:39:00,Repeated Payment Attempt,Resolved
243,3408,20290,2026-11-08 17:48:00,Payment Decline,Resolved
244,3414,49267,2026-02-25 00:41:00,Payment Decline,Unresolved
245,3419,38321,2026-06-01 14:31:00,Repeated Payment Attempt,Resolved
246,3420,8376,2025-04-21 13:14:00,Payment Decline,Resolved
247,3428,38250,2025-05-27 20:06:00,Payment Decline,Resolved
248,3441,30390,2026-10-25 22:11:00,Payment Decline,Resolved
249,3462,48863,2026-11-08 07:45:00,Payment Decline,Resolved
250,3489,32193,2025-10-15 03:31:00,Repeated Payment Attempt,Resolved
251,3501,18920,2025-08-02 01:16:00,Payment Decline,Resolved
252,3548,18116,2025-08-30 19:02:00,Repeated Payment Attempt,Resolved
253,3555,47514,2025-06-21 20:38:00,Repeated Payment Attempt,Resolved
254,3557,45475,2026-09-24 07:40:00,Payment Decline,Resolved
255,3569,20001,2026-10-10 16:26:00,Payment Decline,Resolved After Retry
256,3571,34034,2025-03-30 05:02:00,Verification Required,Resolved
257,3600,20287,2025-04-12 08:15:00,Repeated Payment Attempt,Resolved After Retry
258,3604,26740,2026-09-20 22:08:00,Payment Decline,Resolved
259,3606,2976,2026-06-09 14:49:00,Payment Decline,Resolved After Retry
260,3631,40895,2025-02-28 03:26:00,Repeated Payment Attempt,Resolved
261,3657,2913,2026-11-30 06:47:00,Payment Decline,Resolved
262,3674,39908,2026-07-07 23:01:00,Payment Decline,Resolved After Retry
263,3693,33255,2026-01-10 19:31:00,Payment Decline,Resolved
264,3707,15266,2026-11-05 22:45:00,Repeated Payment Attempt,Resolved
265,3725,19400,2026-04-03 12:03:00,Account Review,Resolved After Retry
266,3731,24139,2026-05-20 12:03:00,Payment Decline,Unresolved
267,3746,43620,2025-07-08 03:38:00,Repeated Payment Attempt,Resolved After Retry
268,3747,3369,2026-05-09 07:06:00,Verification Required,Resolved
269,3762,8646,2025-09-30 19:12:00,Account Review,Resolved
270,3771,25100,2025-07-17 06:24:00,Payment Decline,Resolved
271,3774,31880,2026-12-01 22:31:00,Payment Decline,Resolved
272,3794,19941,2025-04-16 23:43:00,Account Review,Resolved
273,3796,37799,2025-09-30 07:04:00,Repeated Payment Attempt,Unresolved
274,3832,10309,2025-05-16 17:20:00,Payment Decline,Unresolved
275,3834,20054,2025-03-30 15:36:00,Payment Decline,Resolved
276,3838,43699,2026-08-16 07:57:00,Repeated Payment Attempt,Resolved
277,3841,43454,2025-11-11 14:10:00,Verification Required,Resolved
278,3861,26095,2026-10-26 14:14:00,Account Review,Resolved
279,3872,46168,2025-07-07 23:45:00,Verification Required,Resolved
280,3879,18116,2025-10-18 01:16:00,Payment Decline,Resolved
281,3894,35569,2025-11-14 00:10:00,Repeated Payment Attempt,Resolved
282,3905,3207,2026-08-07 11:32:00,Verification Required,Resolved
283,3909,34256,2025-01-06 03:12:00,Payment Decline,Resolved
284,3912,1392,2026-02-03 00:24:00,Verification Required,Resolved
285,3946,29097,2025-09-06 16:39:00,Verification Required,Resolved
286,3995,26979,2025-08-16 01:57:00,Repeated Payment Attempt,Resolved After Retry
287,4020,37436,2026-02-17 19:16:00,Payment Decline,Resolved
288,4033,23408,2026-12-18 05:52:00,Account Review,Resolved After Retry
289,4045,28734,2026-04-28 09:03:00,Account Review,Resolved After Retry
290,4051,2504,2025-04-24 06:57:00,Account Review,Resolved
291,4069,303,2025-07-13 15:34:00,Payment Decline,Resolved
292,4080,113,2025-07-05 18:43:00,Payment Decline,Resolved After Retry
293,4092,2273,2025-11-02 09:18:00,Payment Decline,Resolved
294,4093,34623,2025-01-19 09:02:00,Payment Decline,Resolved
295,4097,19563,2026-10-21 02:26:00,Payment Decline,Resolved
296,4115,13170,2025-06-23 19:30:00,Payment Decline,Unresolved
297,4130,9428,2026-12-28 23:19:00,Payment Decline,Resolved
298,4140,2828,2026-06-27 17:01:00,Payment Decline,Resolved
299,4157,31422,2026-06-25 01:47:00,Payment Decline,Resolved
300,4180,32167,2025-11-13 16:39:00,Payment Decline,Resolved
301,4192,18911,2026-06-05 01:04:00,Verification Required,Resolved
302,4209,13900,2026-02-20 12:09:00,Payment Decline,Resolved
303,4238,15885,2026-01-08 06:40:00,Payment Decline,Resolved
304,4266,10028,2026-02-04 21:18:00,Payment Decline,Resolved
305,4295,34923,2026-11-11 15:06:00,Repeated Payment Attempt,Resolved After Retry
306,4308,35640,2025-07-14 23:15:00,Payment Decline,Resolved After Retry
307,4311,32174,2026-02-12 12:06:00,Payment Decline,Resolved
308,4319,46123,2026-10-28 10:07:00,Payment Decline,Resolved
309,4345,44980,2025-04-23 12:18:00,Verification Required,Resolved
310,4346,30260,2025-07-10 00:03:00,Payment Decline,Resolved
311,4354,47412,2026-11-15 17:57:00,Payment Decline,Resolved
312,4359,1516,2026-06-29 02:45:00,Verification Required,Resolved
313,4361,42784,2026-08-19 12:01:00,Payment Decline,Unresolved
314,4372,27637,2026-09-23 23:52:00,Repeated Payment Attempt,Unresolved
315,4373,28431,2026-05-22 08:36:00,Payment Decline,Unresolved
316,4408,49861,2025-08-22 06:23:00,Payment Decline,Resolved
317,4445,3997,2025-09-24 07:37:00,Repeated Payment Attempt,Resolved
318,4455,19408,2026-01-05 01:26:00,Payment Decline,Resolved
319,4458,34034,2026-06-09 11:21:00,Account Review,Resolved
320,4462,2909,2026-03-03 16:03:00,Payment Decline,Resolved
321,4470,30999,2025-05-03 01:45:00,Payment Decline,Resolved
322,4476,20816,2026-02-10 05:19:00,Payment Decline,Unresolved
323,4478,17551,2026-08-10 09:05:00,Payment Decline,Resolved
324,4496,9758,2025-11-15 06:58:00,Payment Decline,Resolved After Retry
325,4505,22113,2026-12-20 07:29:00,Verification Required,Unresolved
326,4516,10168,2026-09-21 12:27:00,Payment Decline,Resolved
327,4520,14705,2026-04-08 15:12:00,Repeated Payment Attempt,Resolved
328,4521,24402,2026-06-12 22:15:00,Payment Decline,Unresolved
329,4538,45472,2026-11-25 13:41:00,Repeated Payment Attempt,Unresolved
330,4542,48103,2025-03-02 15:32:00,Payment Decline,Resolved
331,4546,24881,2026-09-03 05:41:00,Repeated Payment Attempt,Resolved
332,4555,14853,2026-04-13 00:00:00,Payment Decline,Resolved After Retry
333,4577,7509,2026-07-21 18:14:00,Payment Decline,Resolved
334,4579,20706,2026-09-07 23:54:00,Verification Required,Resolved
335,4581,17725,2026-05-06 14:05:00,Payment Decline,Resolved
336,4601,45279,2026-11-21 08:09:00,Verification Required,Resolved
337,4607,49295,2025-08-16 23:49:00,Verification Required,Resolved
338,4641,17561,2026-03-01 05:55:00,Repeated Payment Attempt,Resolved
339,4715,41603,2026-05-06 10:06:00,Verification Required,Resolved
340,4732,45642,2026-12-14 12:49:00,Payment Decline,Resolved
341,4738,48586,2025-09-30 00:52:00,Payment Decline,Resolved
342,4767,2867,2025-08-13 07:33:00,Verification Required,Resolved
343,4771,20619,2025-10-16 17:52:00,Payment Decline,Resolved
344,4773,33746,2025-10-11 15:05:00,Account Review,Resolved
345,4784,46797,2025-03-14 21:47:00,Repeated Payment Attempt,Resolved After Retry
346,4813,47699,2025-01-08 00:49:00,Verification Required,Resolved
347,4816,31636,2025-10-05 01:34:00,Payment Decline,Resolved
348,4829,35859,2026-02-03 00:00:00,Payment Decline,Resolved After Retry
349,4831,27222,2025-01-01 13:56:00,Payment Decline,Resolved
350,4832,49591,2026-01-20 16:09:00,Account Review,Resolved
351,4833,37429,2026-09-04 02:13:00,Verification Required,Resolved
352,4847,44960,2026-06-27 00:22:00,Repeated Payment Attempt,Resolved
353,4863,20946,2026-02-21 17:44:00,Verification Required,Resolved
354,4874,11334,2026-10-21 15:06:00,Verification Required,Resolved
355,4902,23462,2025-06-19 12:09:00,Verification Required,Resolved
356,4905,31994,2026-06-03 22:05:00,Verification Required,Resolved After Retry
357,4909,15989,2026-12-20 10:47:00,Payment Decline,Unresolved
358,4938,9738,2026-01-23 21:01:00,Payment Decline,Resolved After Retry
359,4944,42820,2026-02-15 02:28:00,Verification Required,Unresolved
360,4946,49422,2026-11-13 02:48:00,Payment Decline,Resolved
361,4959,27525,2025-03-20 06:53:00,Verification Required,Resolved
362,5031,12718,2026-07-13 20:16:00,Repeated Payment Attempt,Resolved
363,5047,32371,2026-08-21 02:21:00,Account Review,Resolved
364,5058,7094,2025-11-17 04:18:00,Payment Decline,Resolved
365,5145,34265,2026-01-09 19:10:00,Verification Required,Resolved After Retry
366,5147,47817,2025-08-03 10:30:00,Payment Decline,Resolved
367,5177,44131,2026-09-23 19:12:00,Repeated Payment Attempt,Resolved
368,5184,46600,2026-03-27 17:35:00,Payment Decline,Resolved
369,5200,24063,2026-07-21 09:31:00,Verification Required,Resolved
370,5210,44738,2026-09-05 11:00:00,Verification Required,Resolved After Retry
371,5211,42982,2026-07-07 17:11:00,Verification Required,Resolved
372,5215,19668,2026-08-31 07:18:00,Payment Decline,Resolved After Retry
373,5240,43866,2025-04-12 15:15:00,Account Review,Resolved
374,5256,12488,2025-02-22 13:04:00,Verification Required,Resolved After Retry
375,5290,16122,2026-10-11 07:22:00,Verification Required,Resolved
376,5291,21682,2025-05-26 22:02:00,Verification Required,Resolved
377,5313,48866,2025-11-06 04:03:00,Payment Decline,Resolved
378,5329,33936,2025-02-09 01:27:00,Repeated Payment Attempt,Resolved After Retry
379,5334,44905,2026-02-20 07:08:00,Payment Decline,Resolved After Retry
380,5339,8604,2026-08-18 18:40:00,Payment Decline,Resolved
381,5350,18716,2025-08-28 12:56:00,Payment Decline,Resolved
382,5368,43528,2026-12-01 01:30:00,Verification Required,Resolved
383,5371,21107,2025-04-20 03:18:00,Payment Decline,Resolved
384,5376,45987,2026-07-14 05:02:00,Payment Decline,Resolved
385,5378,2865,2025-10-13 14:16:00,Payment Decline,Resolved
386,5391,20098,2026-08-20 20:26:00,Payment Decline,Resolved
387,5394,45830,2026-11-06 11:07:00,Payment Decline,Resolved After Retry
388,5411,45736,2025-01-19 03:12:00,Account Review,Resolved
389,5433,48045,2026-01-04 01:46:00,Repeated Payment Attempt,Resolved After Retry
390,5467,22332,2026-08-22 10:14:00,Payment Decline,Resolved After Retry
391,5482,31974,2025-02-16 22:19:00,Payment Decline,Resolved
392,5520,5302,2026-04-03 18:32:00,Account Review,Resolved
393,5521,24398,2025-11-03 16:05:00,Repeated Payment Attempt,Resolved
394,5529,18636,2025-09-16 18:23:00,Payment Decline,Resolved After Retry
395,5534,2469,2026-08-06 22:31:00,Repeated Payment Attempt,Resolved
396,5539,12595,2025-07-03 03:57:00,Payment Decline,Resolved
397,5552,1850,2025-05-08 02:39:00,Payment Decline,Resolved
398,5566,3954,2025-11-18 00:51:00,Verification Required,Resolved
399,5568,4371,2026-04-06 15:22:00,Repeated Payment Attempt,Resolved
400,5586,5190,2025-12-10 22:28:00,Payment Decline,Resolved After Retry
401,5593,40984,2026-03-23 21:33:00,Repeated Payment Attempt,Resolved
402,5599,34040,2025-03-30 09:24:00,Payment Decline,Resolved
403,5647,45162,2026-04-06 08:23:00,Verification Required,Resolved
404,5656,13137,2026-06-12 21:31:00,Payment Decline,Resolved
405,5666,29196,2025-08-28 14:19:00,Payment Decline,Resolved After Retry
406,5674,15112,2025-05-21 08:22:00,Verification Required,Resolved
407,5692,3135,2026-06-15 04:23:00,Verification Required,Resolved After Retry
408,5706,20414,2025-10-28 15:18:00,Payment Decline,Resolved
